wall_time,run_id,outcome,total_sec,time_to_approach_goal_sent,time_to_side_align_complete,time_to_trolley_type_checked,time_to_under_trolley,time_to_fine_first_aruko,time_to_fine_align_complete,time_to_dropoff_goal_sent,time_to_drive_out_done,commands,manual_marks,dropzone_status_events,physical_status_events,yolo_detection_events,last_trolley_type,last_dropzone_status,last_physical_status,events_csv
2026-06-19_14-50-09-118605,20260619_144806,drive_out_done,122.522,0.002,21.076,29.694,60.079,,77.075,93.269,122.522,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,1,11,7,1,laundry_trolley,drive_out_done. Released laundry_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1363 center_y=+0.0060 yaw=-12.41deg orientation=normal error_x=+0.0038 error_y=-0.0002 yaw_error=-1.41deg target_x=+0.1325 target_y=+0.0062 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-53-04-568483,20260619_145013,auto_closed_before_command_trolley_ready,171.474,171.281,,,,,,,,charging,1,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-53-43-391299,20260619_145304,auto_closed_before_command_trolley_ready,38.821,,,,,,,,,trolley_ready|charging,0,0,0,0,,,,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_14-54-30-833942,20260619_145343,auto_closed_before_command_trolley_ready,47.441,0.005,,,,,,,,trolley_ready|charging,0,1,0,0,,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}""",,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-00-00-909962,20260619_145430,auto_closed_before_command_trolley_ready,330.075,0.005,44.840,91.201,132.237,,,,,trolley_ready|side_align|check_trolley_type|drive_under|charging,4,6,4,1,trash_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}""",drive_straight_under_done,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-03-15-799245,20260619_150000,drive_out_done,194.888,0.013,37.465,50.330,78.661,,88.361,161.980,194.887,trolley_ready|side_align|check_trolley_type|drive_under|fine_align|deliver_trolley|drive_out,2,11,7,1,trash_trolley,drive_out_done. Released trash_trolley; cleared trolley type. Next command: trolley_ready.,"fine_align_under_done | final ids=[3, 12] center_x=+0.1365 center_y=+0.0128 yaw=+164.36deg orientation=flipped_180 error_x=-0.0005 error_y=+0.0090 yaw_error=-0.64deg target_x=+0.1370 target_y=+0.0038 tolerance_x=0.0040 tolerance_y=0.0100 tolerance_yaw=3.00deg",/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-06-40-588671,20260619_150511,auto_closed_before_command_trolley_ready,89.140,0.006,22.424,26.972,46.024,,,,,trolley_ready|side_align|check_trolley_type|drive_under,1,6,4,1,trash_trolley,"under_trolley. Inspect position, then approve final ArUco alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'fine_align'}""",drive_straight_under_done,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-09-30-068671,20260619_150640,auto_closed_before_command_trolley_ready,169.478,0.008,,,,,,,,trolley_ready|side_align|side_align,1,3,1,0,,"ignored side_align; current phase=side_aligning. Send status to see the next expected command, or stop to cancel.",side_align_left_started,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-09-46-591749,20260619_150930,auto_closed_before_command_trolley_ready,16.522,0.002,,,,,,,,trolley_ready|stop,0,2,1,0,,stopped. Alignment controller was commanded to stop.,stopped,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
2026-06-19_15-10-59-945154,20260619_150946,logger_shutdown,73.352,0.002,,,,,,,,trolley_ready|side_align,1,2,1,0,,side_aligning via side_align_left. Waiting for side_align_left_done.,side_align_left_started,/home/rocket/gr4_ws/mission_run_logs/mission_run_events_20260619_133432.csv
